['羽毛球集锦', ['羽毛球', '集锦', '空', '空', '空'], ['体育其它', '体育类'], ['中央电视台体育频道']]
['狄仁杰之神都龙王', ['狄仁杰', '之神', '都', '龙王', '空'], ['内地电影', '电影类'], ['BTV-影视']]
['温柔的诱惑', ['温柔', '的', '诱惑', '空', '空'], ['爱情言情', '电视剧类'], ['河北电视台卫视频道']]
['湖北新闻', ['湖北', '新闻', '空', '空', '空'], ['新闻/时事类', '综合新闻'], ['湖北电视台卫视频道']]
['献给天堂的比赛', ['献给', '天堂', '的', '比赛', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['新闻深一度', ['新闻', '深', '一度', '空', '空'], ['新闻/时事类', '新闻评述'], ['浙江电视台卫视频道']]
['亲亲小可', ['亲亲', '小可', '空', '空', '空'], ['动画', '青少类'], ['吉林电视台卫视频道']]
['中国NO.1', ['中国', 'NO.1', '空', '空', '空'], ['专题类', '专题片'], ['湖北电视台卫视频道']]
['智者无敌', ['智者', '无敌', '空', '空', '空'], ['反特/谍战', '电视剧类'], ['内蒙古电视台卫视频道']]
['都嘟', ['都', '嘟', '空', '空', '空'], ['综艺其它', '综艺类'], ['广西电视台卫视频道']]
['天气视点', ['天气', '视点', '空', '空', '空'], ['天气预报', '生活服务类'], ['BTV-新闻']]
['喜羊羊与灰太狼之飞马奇遇记', ['喜羊羊', '与', '灰', '太', '狼'], ['电影其它', '电影类'], ['卡酷动画']]
['爸爸我爱你', ['爸爸', '我爱你', '空', '空', '空'], ['社会伦理', '电视剧类'], ['安徽广播电视台卫视频道']]
['追剿魔头', ['追剿', '魔头', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['铁血柔情', ['铁血', '柔情', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['大闹天宫', ['大闹天宫', '空', '空', '空', '空'], ['电影其它', '电影类'], ['中央电视台戏曲频道']]
['玩具总动员第三部', ['玩具', '总动员', '第三部', '空', '空'], ['电影其它', '电影类'], ['嘉佳卡通']]
['飞虎队', ['飞虎队', '空', '空', '空', '空'], ['战争', '内地电影'], ['山东电视台卫星频道']]
['铁猴子传奇之娇龙媚影', ['铁', '猴子', '传奇', '之娇', '龙媚影'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['百团大战', ['百团大战', '空', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['我们共同祈盼', ['我们', '共同', '祈盼', '空', '空'], ['专题类', '专题其它'], ['北京卫视']]
['戈壁母亲', ['戈壁', '母亲', '空', '空', '空'], ['时代变迁', '电视剧类'], ['中央电视台电视剧频道']]
['光明与阴霾德日二战反思录', ['光明', '与', '阴霾', '德日', '二战'], ['专题类', '专题片'], ['中央电视台新闻综合频道']]
['创客星球', ['创客', '星球', '空', '空', '空'], ['专题类', '财经类'], ['深圳市电视台卫视频道']]
['错嫁', ['错嫁', '空', '空', '空', '空'], ['内地电影', '电影类'], ['四川广播电视台卫视频道']]
['超级演说家', ['超级', '演说家', '空', '空', '空'], ['综艺其它', '综艺类'], ['安徽广播电视台卫视频道']]
['马上天下', ['马上', '天下', '空', '空', '空'], ['战争', '电视剧类'], ['上海广播电视台东方卫视频道']]
['世界数独锦标赛', ['世界', '数独', '锦标赛', '空', '空'], ['体育类', '其它赛事'], ['BTV-体育']]
['全国沙滩排球大满贯赛', ['全国', '沙滩排球', '大满贯', '赛', '空'], ['体育类', '排球'], ['中央电视台体育频道']]
['嗨小喇叭', ['嗨', '小喇叭', '空', '空', '空'], ['青少综艺', '青少类'], ['嘉佳卡通']]
['新洛神', ['新', '洛神', '空', '空', '空'], ['戏说演绎', '电视剧类'], ['中央电视台电视剧频道']]
['极限冲刺', ['极限', '冲刺', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['越洋追踪', ['越洋', '追踪', '空', '空', '空'], ['其它国家电影', '电影类'], ['广东电视台卫视频道']]
['播火录', ['播火录', '空', '空', '空', '空'], ['专题类', '专题片'], ['BTV-新闻']]
['美丽愿望', ['美丽', '愿望', '空', '空', '空'], ['美容/服饰', '生活服务类'], ['BTV-科教']]
['医者童心', ['医者', '童心', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['心跳', ['心跳', '空', '空', '空', '空'], ['亚洲国家电影', '电影类'], ['中央电视台电影频道']]
['东西南北新疆人', ['东西南北', '新疆', '人', '空', '空'], ['专题类', '专题片'], ['新疆电视台汉语卫视频道']]
['财经锋汇', ['财经', '锋汇', '空', '空', '空'], ['财经专题', '财经类'], ['BTV-财经']]
['李双双', ['李双双', '空', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['大美陕西', ['大美', '陕西', '空', '空', '空'], ['专题类', '专题片'], ['黑龙江电视台卫视频道']]
['波鲁鲁冰雪大冒险', ['波鲁鲁', '冰雪', '大冒险', '空', '空'], ['电影其它', '电影类'], ['中央电视台电影频道']]
['国际大营救', ['国际', '大', '营救', '空', '空'], ['战争', '内地电影'], ['甘肃电视台卫视频道']]
['超级工程', ['超级', '工程', '空', '空', '空'], ['专题类', '专题片'], ['中央电视台综艺频道']]
['猎仇者', ['猎', '仇者', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['群龙戏凤', ['群龙', '戏凤', '空', '空', '空'], ['港澳台电影', '电影类'], ['BTV-影视']]
['直击灿鸿', ['直击', '灿鸿', '空', '空', '空'], ['新闻/时事类', '大型新闻事件'], ['浙江电视台卫视频道']]
['砥柱中流伟大的敌后抗战', ['砥柱中流', '伟大', '的', '敌后', '抗战'], ['专题类', '专题片'], ['北京电视台高清频道']]
